SR,ISIN,NAME OF THE INSTRUMENT,RATING,INDUSTRY,QUANTITY
1,INE002A01018,Reliance Industries Limited,N.A.,Petroleum Products,1767000
2,INE040A01034,HDFC Bank Limited,N.A.,Banks,2248000
3,INE062A01020,State Bank of India,N.A.,Banks,4300800
4,INE406A01037,Aurobindo Pharma Limited,N.A.,Pharmaceuticals & Biotechnology,2732100
5,INE154A01025,ITC Limited,N.A.,Diversified FMCG,3581550
6,INE214T01019,LTIMindtree Limited,N.A.,IT - Software,310850
7,INE151A01013,Tata Communications Limited,N.A.,Telecom - Services,1008297
8,INE00E101023,Bikaji Foods International Limited,N.A.,Food Products,3487764
9,INE160A01022,Punjab National Bank,N.A.,Banks,26970000
10,INE821I01022,IRB Infrastructure Developers Limited,N.A.,Construction,48485400
11,INE473A01011,Linde India Ltd.,N.A.,Chemicals & Petrochemicals,295710
12,INE007A01025,CRISIL Limited,N.A.,Finance,296765
13,INE042A01014,Escorts Kubota Limited,N.A.,"Agricultural, Commercial & Construction Vehicles",511600
14,INE481G01011,UltraTech Cement Limited,N.A.,Cement & Cement Products,127750
15,INE271C01023,DLF Limited,N.A.,Realty,2110000
16,INE930P01018,Anupam Rasayan India Limited,N.A.,Chemicals & Petrochemicals,914865
17,INE692A01016,Union Bank of India,N.A.,Banks,12873000
18,INE124G01033,Delta Corp Ltd,N.A.,Leisure Services,3501218
19,INE061F01013,Fortis Healthcare Ltd,N.A.,Healthcare Services,2656542
20,INE548A01028,HFCL Limited,N.A.,Telecom - Services,11429268
21,INE018A01030,Larsen & Toubro Limited,N.A.,Construction,296482
22,INE180C01026,Capri Global Capital Limited,N.A.,Finance,947300
23,INE208C01025,Aegis Logistics Limited,N.A.,Gas,2115348
24,INE089A01023,Dr. Reddy's Laboratories Limited,N.A.,Pharmaceuticals & Biotechnology,129000
25,INE493A01027,Tata Coffee Ltd.,N.A.,Agricultural Food & other Products,2662000
26,INE886H01027,TV18 Broadcast Ltd,N.A.,Entertainment,17345526
27,INE939A01011,Strides Pharma Science Ltd,N.A.,Pharmaceuticals & Biotechnology,1422000
28,INE670K01029,Macrotech Developers Limited,N.A.,Realty,869786
29,INE140A01024,Piramal Enterprises Limited,N.A.,Finance,618870
30,INE226A01021,Voltas Limited,N.A.,Consumer Durables,700000
31,INE419M01027,TD Power Systems Ltd,N.A.,Electrical Equipment,2025000
32,INE531E01026,Hindustan Copper Limited,N.A.,Non - Ferrous Metals,3768150
33,INE749A01030,Jindal Steel & Power Ltd,N.A.,Ferrous Metals,735000
34,INE0D6701023,India Pesticides Limited,N.A.,Fertilizers & Agrochemicals,1826550
35,INE847C01020,Rossell India Limited,N.A.,Aerospace & Defense,912700
36,INE323A01026,Bosch Limited,N.A.,Auto Components,16245
37,INE870H01013,Network18 Media & Investments Limited,N.A.,Entertainment,4150465
38,INE634A01018,Honda India Power Products Limited,N.A.,Industrial Manufacturing,115559
39,INE229H01012,Nitin Spinners Limited,N.A.,Textiles & Apparels,921336
40,INE485A01015,Century Enka Limited,N.A.,Textiles & Apparels,549076
41,INE142Q01026,Sula Vineyards Limited,N.A.,Beverages,500000
42,INE536H01010,Mahindra CIE Automotive Limited,N.A.,Auto Components,435000
43,INE0LOJ01019,IKIO LIGHTING LIMITED,N.A.,Consumer Durables,490021
44,INE128X01021,Archean Chemical Industries Limited,N.A.,Chemicals & Petrochemicals,375835
45,INE239C01020,Stylam Industries Limited,N.A.,Consumer Durables,124905
46,INE216P01012,Aavas Financiers Limited,N.A.,Finance,80000
47,INE103A01014,MANGALORE REFINERY & PETROCHEMICALS LTD,N.A.,Petroleum Products,1500000
48,INE034S01021,Arvind SmartSpaces Limited,N.A.,Realty,206098
49,INE371A01025,Graphite India Limited,N.A.,Industrial Products,100000
50,INE044A01036,Sun Pharmaceutical Industries Limited,N.A.,Pharmaceuticals & Biotechnology,20000
51,INE397D01024,Bharti Airtel Limited,N.A.,Telecom - Services,14000
